"id","weight40","sex","Cluster","Cluster_labels"
730530000,0.940119743347168,0,1,"Persistent Single"
730544000,0.45720311999321,0,2,"Early Family Formation"
731481000,1.21121227741241,0,1,"Persistent Single"
733737000,0.476670324802399,1,1,"Persistent Single"
736309000,0.90180104970932,1,2,"Early Family Formation"
737847000,1.72198498249054,1,1,"Persistent Single"
738136000,1.51371383666992,1,3,"Stable Married, One Child"
739984000,0.989278256893158,0,5,"Delayed Union Formation"
740788000,1.61964559555054,1,1,"Persistent Single"
741931000,1.99071359634399,0,1,"Persistent Single"
742065000,0.624842762947083,0,1,"Persistent Single"
743226000,1.60588121414185,0,4,"Late & Diverse Transitions"
743342000,1.51707458496094,1,5,"Delayed Union Formation"
743452000,2.97200202941895,0,5,"Delayed Union Formation"
743971000,3.78870058059692,1,2,"Early Family Formation"
744008000,0.995458841323853,0,5,"Delayed Union Formation"
744524000,2.3749852180481,1,5,"Delayed Union Formation"
744877000,2.31811141967773,1,2,"Early Family Formation"
745551000,2.00826501846313,0,1,"Persistent Single"
745627000,5.56557941436768,1,1,"Persistent Single"
745765000,1.50918781757355,1,4,"Late & Diverse Transitions"
748577000,1.44143450260162,1,1,"Persistent Single"
748755000,1.71971642971039,1,1,"Persistent Single"
803214000,0.334594398736954,1,2,"Early Family Formation"
803308000,0.303915768861771,0,5,"Delayed Union Formation"
804145000,0.464932858943939,1,2,"Early Family Formation"
805277000,0.731022000312805,0,2,"Early Family Formation"
806151000,1.00138425827026,1,3,"Stable Married, One Child"
806207000,0.269364327192307,0,3,"Stable Married, One Child"
806349000,0.295464724302292,0,4,"Late & Diverse Transitions"
806717000,2.66664361953735,0,2,"Early Family Formation"
807683000,1.27873158454895,1,3,"Stable Married, One Child"
808155000,0.258731991052628,1,2,"Early Family Formation"
808644000,0.662096679210663,1,1,"Persistent Single"
808668000,0.299179345369339,1,1,"Persistent Single"
809713000,0.397306472063065,1,5,"Delayed Union Formation"
810114000,0.244260311126709,1,4,"Late & Diverse Transitions"
810140000,0.663794994354248,1,4,"Late & Diverse Transitions"
811183000,0.618083238601685,0,1,"Persistent Single"
811454000,0.811316132545471,1,3,"Stable Married, One Child"
812308000,0.795256614685059,0,2,"Early Family Formation"
812475000,1.06727004051208,0,3,"Stable Married, One Child"
814127000,0.340380996465683,0,2,"Early Family Formation"
814227000,0.402984142303467,1,5,"Delayed Union Formation"
815566000,0.583109080791473,0,2,"Early Family Formation"
816227000,0.790959239006042,0,4,"Late & Diverse Transitions"
816309000,0.38859748840332,0,5,"Delayed Union Formation"
816873000,0.285518527030945,0,1,"Persistent Single"
817205000,0.257370471954346,0,3,"Stable Married, One Child"
817288000,0.264243215322495,1,1,"Persistent Single"
817684000,0.45608326792717,0,3,"Stable Married, One Child"
818300000,0.831994473934174,1,5,"Delayed Union Formation"
819375000,2.46502828598022,1,2,"Early Family Formation"
819797000,0.669485211372375,0,2,"Early Family Formation"
821664000,0.66538268327713,1,1,"Persistent Single"
821766000,0.3714639544487,0,3,"Stable Married, One Child"
821874000,0.338529765605927,1,3,"Stable Married, One Child"
822043000,0.424834400415421,0,2,"Early Family Formation"
822414000,0.487154275178909,1,1,"Persistent Single"
823005000,3.23974704742432,0,2,"Early Family Formation"
823301000,0.273172616958618,0,3,"Stable Married, One Child"
