Start Date,ID,"Yesterday, how much time did you spend: - Speaking in class","Yesterday, how much time did you spend: - Listening in class","Yesterday, how much time did you spend: - In conversation on the phone","Yesterday, how much time did you spend: - In face-to-face conversation outside of class","Yesterday, how much time did you spend: - Instant-messaging on the Internet","Yesterday, how much time did you spend: - Reading school-related material NOT on the Internet","Yesterday, how much time did you spend: - Reading school-related material on the Internet","Yesterday, how much time did you spend: - Listening to music","Yesterday, how much time did you spend: - Watching/listening to TV"
6/26/2020,Summer 19,0,0,1,4,4,0,0,2,4
6/26/2020,Summer 18,0,3,0,1,1,0,4,3,1
6/26/2020,Summer 13,0,2,0,4,4,0,2,3,4
6/26/2020,Summer 20,1,4,0,4,3,0,3,0,0
6/26/2020,Summer 16,0,4,4,4,2,0,4,4,4
6/26/2020,Summer 5,0,4,3,4,2,0,1,4,1
6/26/2020,Summer 9,0,0,2,4,0,0,0,4,4
6/26/2020,Summer 15,0,0,3,4,2,0,4,2,2
6/27/2020,Summer 2,1,1,3,0,1,0,2,4,1
6/27/2020,Summer 176,0,4,4,3,0,0,4,3,3
6/27/2020,Summer 176,0,3,3,3,1,0,3,3,3
6/27/2020,Summer 19,0,0,4,4,4,0,0,2,4
6/27/2020,Summer 13,0,0,0,4,4,0,0,3,4
6/27/2020,Summer 18,0,0,0,1,1,0,4,0,0
6/27/2020,Summer 9,0,0,4,4,0,0,0,4,4
6/27/2020,Summer 16,0,0,4,2,2,0,4,0,4
6/27/2020,Summer 15,0,0,4,4,3,0,3,1,1
6/27/2020,Summer 4,0,3,0,4,2,2,2,2,4
6/27/2020,Summer 5,0,0,0,4,2,1,2,0,0
6/27/2020,Summer 1,1,0,4,4,4,1,4,0,4
6/27/2020,Summer 6,0,3,2,4,4,0,4,0,4
6/27/2020,Summer 20,0,0,0,4,4,0,2,0,3
6/27/2020,Summer 17,0,0,1,4,3,0,0,4,4
6/28/2020,Summer 8,0,4,0,2,4,0,4,4,4
6/28/2020,Summer 176,0,0,0,4,0,0,0,4,0
6/28/2020,Summer 12,4,4,0,0,1,0,4,2,4
6/28/2020,Summer 12,0,0,0,0,1,4,2,0,4
6/28/2020,Summer 4,0,4,1,3,0,0,4,0,0
6/28/2020,Summer 6,0,0,3,4,2,0,0,4,0
6/28/2020,Summer 13,0,3,0,4,4,0,1,3,4
6/28/2020,Summer 19,0,0,0,4,4,0,0,2,4
6/28/2020,Summer 16,0,0,4,2,2,0,0,2,4
6/28/2020,Summer 3,0,0,0,4,2,0,4,0,4
6/28/2020,Summer 15,0,0,4,4,3,4,2,1,1
6/28/2020,Summer 20,0,0,0,4,3,0,0,1,4
6/28/2020,Summer 18,0,0,1,2,1,0,2,0,0
6/29/2020,Summer 9,0,0,4,4,0,2,2,4,4
6/29/2020,Summer 1,0,0,2,4,4,0,0,0,4
6/29/2020,Summer 17,0,0,0,4,2,0,0,2,4
6/29/2020,Summer 20,0,0,0,4,3,0,0,2,4
6/29/2020,Summer 4,0,0,0,2,1,0,3,1,0
6/29/2020,Summer 12,0,0,0,0,4,0,4,4,4
6/29/2020,Summer 6,0,0,1,4,2,0,0,4,0
6/29/2020,Summer 5,0,0,0,4,1,0,0,4,4
6/29/2020,Summer 19,1,4,4,4,4,0,1,1,4
6/29/2020,Summer 15,0,3,2,3,2,0,3,1,2
6/29/2020,Summer 8,0,4,4,4,4,0,4,4,4
6/29/2020,Summer 18,0,0,0,2,0,0,4,0,1
6/2/2020,Summer 16,0,4,0,4,1,0,2,2,4
6/2/2020,Spring 129,0,3,2,4,2,1,3,4,4
6/2/2020,Summer 3,0,0,1,4,1,0,1,3,4
6/2/2020,Summer 3,0,0,2,4,2,0,3,2,2
6/2/2020,Summer 1,0,4,4,4,4,0,4,0,2
6/2/2020,Summer 2,0,2,0,0,1,0,2,4,0
6/2/2020,Q26,0,0,0,0,0,0,0,0,0
6/2/2020,Q25,0,4,0,4,1,4,3,4,4
6/2/2020,Q19,0,0,0,0,0,0,0,0,0
6/2/2020,Summer 6,0,0,2,4,4,0,4,4,2
6/2/2020,Summer 9,0,0,4,0,0,4,4,4,4
6/2/2020,Summer 8,0,4,0,4,4,0,4,4,4
6/2/2020,Summer 5,0,0,0,4,2,0,0,4,0
6/2/2020,Summer 20,1,4,0,4,3,0,2,1,0
6/2/2020,Summer 16,0,4,4,4,2,0,4,1,4
6/2/2020,Summer 15,0,0,2,4,3,0,3,0,2
6/2/2020,Summer 18,0,4,3,2,1,0,4,2,2
7/1/2020,Summer 4,0,4,0,3,1,4,3,3,1
7/1/2020,Summer 17,0,4,4,4,4,0,3,3,3
7/1/2020,Summer 13,0,2,0,4,4,0,1,4,4
7/1/2020,Summer 1,0,3,3,4,4,1,3,1,0
7/1/2020,Summer 9,0,3,4,0,0,4,4,4,4
7/1/2020,Summer 20,0,0,1,4,4,0,2,2,4
7/1/2020,Summer 18,2,4,0,2,1,1,4,0,1
7/1/2020,Spring 129,0,1,2,4,3,0,2,4,4
7/1/2020,Summer 19,0,0,1,4,4,0,0,4,4
7/1/2020,Summer 15,0,0,3,4,2,4,4,1,1
7/1/2020,Summer 2,2,0,3,0,1,0,3,4,0
7/1/2020,Summer 16,0,0,4,1,3,0,4,0,4
7/1/2020,Summer 12,0,0,0,4,4,4,4,4,2
7/2/2020,Summer 1,0,1,3,4,4,1,3,0,3
7/2/2020,Summer 20,0,3,1,4,3,0,2,3,4
7/2/2020,Summer 9,0,0,0,4,1,4,4,4,4
7/2/2020,Summer 3,0,0,1,4,2,0,0,4,0
7/2/2020,Summer 13,0,2,0,4,4,0,1,2,4
7/2/2020,Summer 176,0,4,0,0,2,0,4,2,3
7/2/2020,Summer 8,0,0,0,4,4,0,4,4,4
7/2/2020,Summer 16,0,0,1,1,1,0,4,2,4
7/2/2020,Summer 19,0,0,0,4,4,0,4,4,4
7/2/2020,Summer 4,0,1,0,4,2,2,3,3,1
7/2/2020,Summer 15,0,0,4,1,3,0,4,1,1
7/2/2020,Summer 2,1,1,2,0,1,0,2,4,0
7/2/2020,Summer 18,0,3,0,4,0,1,1,0,4
7/2/2020,Summer 3,0,4,1,4,2,0,4,2,3
7/2/2020,Summer 17,1,2,3,4,4,0,2,4,4
7/3/2020,Summer 5,0,0,1,4,2,0,0,3,2
7/3/2020,Summer 1,0,3,4,4,4,0,3,0,4
7/3/2020,Summer 3,0,2,1,4,1,0,4,4,0
7/3/2020,Summer 4,0,0,0,4,2,0,0,0,0
7/3/2020,Summer 9,0,4,2,4,0,0,0,4,4
7/3/2020,Summer 12,0,0,0,4,1,0,2,4,4
7/3/2020,Summer 12,0,0,0,0,0,0,0,4,4
7/3/2020,Summer 2,0,0,0,0,0,0,2,4,1
7/3/2020,Summer 20,0,4,0,4,3,0,1,1,4
7/3/2020,Summer 19,0,0,0,4,4,0,0,1,4
7/3/2020,Summer 16,0,0,4,4,2,0,0,4,2
7/3/2020,Summer 176,0,0,0,0,0,0,0,2,2
7/3/2020,Summer 13,0,1,0,4,4,0,1,4,4
7/3/2020,Summer 15,0,0,2,4,2,0,0,2,4
7/3/2020,Summer 18,0,0,0,4,0,0,0,0,4
7/4/2020,Summer 8,0,0,0,4,4,0,4,4,4
7/4/2020,Summer 19,0,0,4,4,4,0,0,4,4
7/4/2020,Summer 15,0,0,2,4,3,0,4,2,4
7/4/2020,Summer 4,0,0,0,4,1,0,0,4,0
7/4/2020,Summer 16,0,0,0,4,1,0,0,4,0
7/4/2020,Summer 13,0,2,0,4,3,0,1,3,4
7/4/2020,Summer 5,0,0,0,4,1,0,2,0,2
7/4/2020,Summer 6,0,0,1,4,4,0,4,2,4
7/4/2020,Summer 1,0,0,3,4,4,0,0,0,1
7/5/2020,Summer 20,0,0,3,4,3,0,1,2,4
7/5/2020,Summer 9,0,0,4,0,0,2,2,4,4
7/5/2020,Summer 5,0,0,0,4,1,0,0,0,0
7/5/2020,Summer 1,0,0,3,4,4,0,0,0,3
7/5/2020,Summer 6,0,0,3,4,4,0,4,0,3
7/5/2020,Summer 3,0,0,0,4,2,0,0,0,4
7/5/2020,Summer 19,0,0,0,4,4,0,1,2,4
7/5/2020,Summer 20,0,0,0,4,3,0,0,1,2
7/5/2020,Summer 12,0,0,0,0,0,0,4,4,0
7/5/2020,Summer 8,0,0,0,4,4,0,2,4,4
7/5/2020,Summer 18,0,3,2,2,0,0,2,0,4
7/5/2020,Summer 13,0,2,0,4,4,0,1,4,4
7/5/2020,Summer 4,0,4,0,4,1,0,0,3,3
7/5/2020,Summer 15,0,0,4,4,3,4,4,2,3
7/5/2020,Summer 16,0,0,0,4,1,0,0,4,4
7/6/2020,Summer 2,0,1,0,0,0,0,3,4,0
7/6/2020,Summer 20,0,0,2,4,3,0,0,2,1
7/6/2020,Summer 4,0,0,4,2,2,0,0,0,0
7/6/2020,Summer 16,0,4,4,1,1,0,4,4,4
7/6/2020,Summer 5,0,0,0,4,2,0,1,0,4
7/6/2020,Summer 18,0,0,1,2,1,0,1,0,4
7/6/2020,Summer 8,0,4,0,4,4,0,4,4,4
7/6/2020,Summer 12,0,0,0,0,0,0,4,4,0
7/6/2020,Summer 15,0,0,2,4,2,4,4,2,1
7/6/2020,Summer 2,0,0,3,0,2,0,2,4,0
7/6/2020,Summer 19,1,4,1,4,4,0,2,2,4
7/6/2020,Summer 17,1,1,4,4,4,0,1,4,4
7/7/2020,Summer 3,0,0,2,1,2,0,4,4,4
7/7/2020,Summer 1,0,4,4,4,2,0,4,0,0
7/7/2020,Summer 2,0,1,3,0,2,0,3,4,0
7/7/2020,Summer 9,0,4,4,4,0,4,4,4,4
7/7/2020,Summer 5,0,4,0,4,2,0,2,0,4
7/7/2020,Summer 13,0,4,0,4,3,0,1,3,3
7/7/2020,Summer 16,0,4,3,2,1,0,4,4,2
7/7/2020,Summer 8,0,0,0,4,4,0,4,4,4
7/7/2020,Summer 15,0,0,2,4,3,4,4,1,2
7/7/2020,Summer 20,0,3,0,4,2,0,2,0,4
7/7/2020,Summer 17,1,1,0,4,4,0,4,2,4
7/8/2020,Summer 4,0,0,2,3,1,0,0,2,0
7/8/2020,Summer 1,0,4,3,4,4,0,3,0,1
7/8/2020,Summer 6,0,0,0,4,4,0,4,4,4
7/8/2020,Summer 5,1,4,0,4,3,3,4,4,0
7/8/2020,Summer 16,0,0,4,2,0,0,4,0,3
7/8/2020,Summer 19,1,4,0,2,4,0,4,2,4
7/8/2020,Summer 176,2,3,3,0,0,0,2,0,0
7/8/2020,Summer 9,0,4,4,4,0,4,4,4,4
7/8/2020,Summer 8,0,4,0,4,4,0,4,4,4
7/8/2020,Summer 12,1,4,0,0,3,3,4,4,0
7/8/2020,Summer 3,0,0,1,4,1,0,0,4,4
7/8/2020,Summer 20,0,0,0,4,2,0,1,2,4
7/8/2020,Summer 18,3,3,1,4,0,0,4,0,0
7/8/2020,Summer 15,0,2,2,4,3,0,3,2,2
7/8/2020,Summer 13,0,4,0,4,2,0,2,2,4
7/9/2020,Summer 17,0,0,4,4,4,0,3,2,1
7/9/2020,Summer 2,0,0,3,0,1,0,4,4,0
7/9/2020,Summer 9,0,4,4,4,0,4,4,4,4
7/9/2020,Summer 19,0,0,0,4,4,0,4,4,4
7/9/2020,Summer 12,0,0,0,4,4,0,4,4,0
7/9/2020,Summer 15,0,0,4,4,3,0,0,2,0
7/9/2020,Summer 20,0,0,0,4,2,0,0,3,4
7/9/2020,Summer 4,0,0,0,3,2,0,0,4,2
7/9/2020,Summer 1,0,0,4,4,4,0,2,0,0
7/10/2020,Summer 3,0,3,0,4,1,0,4,2,4
7/10/2020,Summer 5,0,0,4,4,3,2,3,4,0
7/10/2020,Summer 9,0,4,4,4,0,4,4,4,4
7/10/2020,Summer 1,0,0,3,3,4,0,0,1,0
7/10/2020,Q17,0,0,4,2,1,0,0,0,4
7/10/2020,Summer 20,0,0,0,4,2,0,3,0,0
7/10/2020,Summer 15,0,0,4,4,3,0,0,2,4
7/10/2020,Summer 2,0,0,0,0,0,0,0,4,0
7/10/2020,Summer 18,0,0,0,4,0,0,3,0,4
7/11/2020,Summer 13,0,0,0,0,4,0,0,4,4
7/11/2020,Summer 4,0,0,0,2,1,0,4,0,4
7/11/2020,Summer 9,0,0,4,4,0,0,0,4,4
7/11/2020,Summer 19,0,0,0,4,4,0,0,4,4
7/11/2020,Summer 3,0,0,1,4,1,0,2,4,4
7/11/2020,Summer 5,0,0,2,4,3,0,0,4,0
7/11/2020,Summer 2,0,0,0,0,0,0,0,4,3
7/11/2020,Summer 15,0,0,0,4,2,0,0,0,4
7/11/2020,Summer 20,0,0,4,4,3,0,2,2,4
7/11/2020,Summer 16,0,1,4,4,2,0,1,2,2
7/12/2020,Summer 12,0,0,0,0,2,0,2,4,0
7/12/2020,Summer 8,0,0,0,4,4,0,0,4,4
7/12/2020,Summer 17,0,0,2,4,4,0,0,4,4
7/12/2020,Summer 9,0,0,4,0,0,0,0,4,4
7/12/2020,Summer 5,0,0,0,4,3,0,0,4,4
7/12/2020,Summer 19,0,0,0,4,4,0,0,4,4
7/12/2020,Summer 2,0,0,0,0,0,0,0,4,0
7/12/2020,Summer 18,0,0,2,2,0,0,0,0,4
7/12/2020,Summer 4,0,0,0,4,1,0,0,0,3
7/12/2020,Summer 16,0,0,4,4,2,0,0,2,4
7/12/2020,Summer 20,0,0,0,4,3,0,0,0,4
7/13/2020,Summer 13,0,0,1,4,4,0,0,4,4
7/13/2020,Summer 4,0,0,0,4,1,0,0,0,0
7/13/2020,Summer 3,0,0,0,4,1,0,0,4,4
7/13/2020,Summer 2,0,0,0,0,0,0,0,4,0
7/13/2020,Summer 1,0,0,4,3,3,3,3,3,3
7/13/2020,Summer 19,0,0,0,4,4,0,3,2,4
7/13/2020,Summer 5,0,0,2,4,3,0,0,4,0
7/13/2020,Summer 18,0,0,0,2,0,0,0,0,4
7/13/2020,Summer 16,0,4,0,2,1,0,2,0,4
7/13/2020,Summer 15,0,0,2,4,3,4,0,2,2
7/13/2020,Summer 6,0,0,2,4,4,0,0,2,4
7/14/2020,Summer 20,0,0,0,4,4,0,0,2,4
7/14/2020,Summer 12,0,0,1,4,4,3,4,3,0
7/14/2020,Summer 12,0,0,0,0,4,0,4,4,0
7/14/2020,Summer 1,0,0,3,3,3,0,0,2,2
7/14/2020,Summer 20,0,0,0,4,3,0,0,2,4
7/14/2020,Summer 5,0,0,0,4,2,0,0,4,0
7/14/2020,Summer 3,0,4,1,4,2,0,4,1,4
7/14/2020,Summer 19,0,4,2,4,4,0,0,1,4
7/14/2020,Summer 2,0,0,0,0,0,0,0,4,0
7/14/2020,Summer 8,0,0,0,4,4,0,0,4,4
7/14/2020,Summer 18,0,4,1,1,0,0,2,0,4
7/14/2020,Summer 16,0,2,2,4,1,0,2,1,4
7/14/2020,Summer 15,0,2,4,4,3,4,1,2,2
7/15/2020,Summer 20,0,0,2,4,3,0,2,2,4
7/15/2020,Summer 9,0,0,0,4,0,0,4,4,4
7/15/2020,Summer 13,0,4,0,4,4,0,4,4,4
7/15/2020,Summer 17,0,0,2,4,2,0,0,4,2
7/15/2020,Summer 1,0,0,4,4,4,0,0,4,0
7/15/2020,Summer 19,0,0,0,4,4,0,0,2,4
7/15/2020,Summer 5,0,4,1,4,2,0,0,0,2
7/15/2020,Summer 16,0,2,4,2,2,0,4,4,2
7/15/2020,Summer 15,0,3,2,4,2,2,0,1,1
7/15/2020,Summer 20,0,0,2,4,2,0,2,4,4
