ID,cohort,s1,pss1,start1,s2,pss2,start2,s3,pss3,start3,s4,pss4,start4,s5,pss5,start5,s6,pss6,start6,s7,pss7,start7,s8,pss8,start8
Fall 99,Fall,M,2.0,2020-09-28,M,2.0,2020-10-05,M,1.75,2020-10-12,M,2.25,2020-10-19,M,1.5,2020-10-26,M,1.75,2020-11-02,M,1.5,2020-11-05,M,2.0,2020-11-19
Spring 105,Spring,M,2.25,2021-02-15,H,2.75,2021-02-18,M,2.25,2021-02-22,H,2.5,2021-03-01,M,2.25,2021-03-08,M,2.0,2021-03-15,M,2.25,2021-03-24,M,2.25,2021-03-29
Spring 107,Spring,H,3.0,2021-02-15,H,2.5,2021-02-22,H,3.25,2021-03-02,H,3.5,2021-03-08,H,2.75,2021-03-15,H,3.0,2021-03-22,H,3.0,2021-03-29,H,3.25,2021-04-05
Spring 108,Spring,M,2.25,2021-02-22,H,2.5,2021-03-01,M,1.75,2021-03-08,M,2.25,2021-03-15,H,3.0,2021-03-22,L,1.25,2021-03-29,M,1.5,2021-04-05,L,1.0,2021-04-12
Spring 110,Spring,M,2.0,2021-02-15,M,1.75,2021-02-22,L,0.75,2021-02-23,L,1.0,2021-03-01,L,1.0,2021-03-08,L,1.0,2021-03-15,L,1.0,2021-03-22,L,1.0,2021-03-29
Spring 112,Spring,M,1.5,2021-02-15,M,2.0,2021-02-22,L,1.25,2021-03-01,M,1.75,2021-03-08,L,1.25,2021-03-15,L,1.25,2021-03-23,L,1.25,2021-03-29,L,0.75,2021-04-05
Spring 114,Spring,H,2.5,2021-02-15,M,2.25,2021-02-23,M,1.75,2021-03-01,M,2.25,2021-03-09,H,3.25,2021-03-15,M,2.25,2021-03-23,M,2.0,2021-03-29,H,2.5,2021-04-05
Spring 115,Spring,M,2.25,2021-02-15,L,1.25,2021-02-22,M,1.75,2021-03-01,L,1.25,2021-03-08,L,1.0,2021-03-15,L,0.0,2021-03-22,L,0.0,2021-03-29,L,0.25,2021-04-05
Spring 116,Spring,L,1.0,2021-02-15,L,0.75,2021-02-22,L,1.25,2021-03-01,M,1.5,2021-03-08,L,1.0,2021-03-15,L,1.0,2021-03-22,L,1.25,2021-04-04,M,1.75,2021-04-05
Spring 117,Spring,M,1.75,2021-02-15,M,1.5,2021-02-22,M,1.5,2021-03-01,L,0.75,2021-03-16,L,1.0,2021-03-22,L,1.0,2021-03-30,M,1.5,2021-04-05,M,1.5,2021-04-12
Spring 118,Spring,L,0.75,2021-02-15,L,0.5,2021-02-22,L,1.25,2021-03-08,L,0.25,2021-03-15,L,0.0,2021-03-24,L,0.25,2021-04-05,L,0.25,2021-04-12,L,0.0,2021-04-29
Spring 120,Spring,L,1.25,2021-02-15,L,0.75,2021-02-23,L,0.5,2021-03-02,L,1.0,2021-03-09,L,1.0,2021-03-16,L,1.25,2021-03-22,L,0.75,2021-03-29,L,0.5,2021-04-05
Spring 122,Spring,L,0.75,2021-02-15,M,1.5,2021-02-22,L,0.75,2021-03-01,M,1.5,2021-03-08,M,1.75,2021-03-15,L,0.75,2021-03-22,L,0.5,2021-03-29,L,1.0,2021-04-05
Spring 124,Spring,M,1.75,2021-02-15,M,1.75,2021-02-22,M,2.0,2021-03-01,M,2.25,2021-03-08,M,1.75,2021-03-15,M,1.75,2021-03-22,L,1.0,2021-03-29,M,1.5,2021-04-05
Spring 126,Spring,L,1.0,2021-02-15,M,1.75,2021-02-22,M,2.0,2021-03-01,M,1.75,2021-03-08,M,2.25,2021-03-15,L,1.0,2021-03-22,M,2.0,2021-03-29,L,1.25,2021-04-05
Spring 127,Spring,L,0.25,2021-02-15,L,0.5,2021-02-22,L,0.5,2021-03-01,L,0.5,2021-03-08,L,0.5,2021-03-15,L,1.0,2021-03-22,L,0.5,2021-03-29,L,1.0,2021-04-05
Spring 128,Spring,L,1.0,2021-02-15,M,1.5,2021-02-22,M,1.75,2021-02-23,L,1.0,2021-03-01,M,1.5,2021-03-08,L,1.0,2021-03-15,H,3.25,2021-03-23,H,3.0,2021-03-29
Spring 130,Spring,M,2.0,2021-02-15,M,1.5,2021-02-22,L,1.25,2021-03-01,M,1.75,2021-03-08,M,1.75,2021-03-24,M,1.75,2021-03-29,M,2.0,2021-04-05,M,2.0,2021-04-12
Spring 131,Spring,M,1.5,2021-02-18,M,1.5,2021-02-22,L,0.75,2021-03-01,L,1.0,2021-03-08,L,1.25,2021-03-15,L,0.75,2021-03-24,L,0.0,2021-03-29,L,0.5,2021-04-05
Spring 132,Spring,L,1.0,2021-02-15,L,1.0,2021-03-01,L,1.0,2021-03-08,M,1.75,2021-03-15,L,0.5,2021-03-22,L,0.5,2021-03-29,L,0.25,2021-04-05,L,0.5,2021-04-12
Spring 134,Spring,M,1.75,2021-02-16,L,1.0,2021-02-23,L,1.25,2021-03-01,H,2.5,2021-03-08,M,1.5,2021-03-15,M,1.75,2021-03-25,L,0.5,2021-03-29,M,1.75,2021-04-05
Spring 137,Spring,M,1.75,2021-02-15,M,1.5,2021-02-22,M,1.75,2021-03-01,L,1.25,2021-03-08,L,1.25,2021-03-15,L,1.25,2021-03-23,M,1.5,2021-03-29,L,1.0,2021-04-05
Spring 139,Spring,L,1.0,2021-02-23,L,1.0,2021-03-01,L,1.0,2021-03-08,L,0.75,2021-03-15,L,0.5,2021-03-22,L,0.75,2021-03-29,L,0.25,2021-04-06,L,0.75,2021-04-13
Spring 143,Spring,H,2.75,2021-02-16,M,2.0,2021-02-23,H,2.75,2021-03-01,H,3.25,2021-03-08,M,2.25,2021-03-15,M,2.25,2021-03-22,H,2.5,2021-03-30,M,1.75,2021-04-05
Spring 144,Spring,L,1.0,2021-02-15,L,0.5,2021-02-22,L,1.0,2021-03-01,L,0.75,2021-03-08,L,1.25,2021-03-18,L,0.5,2021-03-23,L,0.0,2021-03-29,L,0.25,2021-04-04
Spring 147,Spring,M,1.75,2021-02-15,M,1.75,2021-02-22,L,1.25,2021-03-01,L,1.25,2021-03-08,M,2.0,2021-03-15,M,1.5,2021-03-22,L,0.75,2021-03-29,M,1.5,2021-04-06
Spring 149,Spring,M,1.5,2021-02-15,M,1.75,2021-02-22,L,1.25,2021-02-23,L,1.25,2021-03-01,L,1.25,2021-03-08,M,1.5,2021-03-15,M,1.75,2021-03-22,L,1.25,2021-03-29
